2017:05:30:15:56:46.825,0.09,-0.217,-0.876
2017:05:30:15:56:46.883,0.011,-0.223,-1.049
2017:05:30:15:56:46.942,-0.062,-0.129,-1.031
2017:05:30:15:56:47.000,0.042,-0.161,-1.051
2017:05:30:15:56:47.059,-0.027,-0.192,-0.962
2017:05:30:15:56:47.119,0.013,-0.156,-0.929
2017:05:30:15:56:47.174,-0.132,-0.127,-0.937
2017:05:30:15:56:47.234,-0.052,-0.197,-1.021
2017:05:30:15:56:47.292,0.095,-0.177,-0.983
2017:05:30:15:56:47.351,0.094,-0.187,-0.831
2017:05:30:15:56:47.409,0.133,-0.185,-0.988
2017:05:30:15:56:47.475,0.047,-0.223,-0.838
2017:05:30:15:56:47.525,0.012,-0.148,-0.954
2017:05:30:15:56:47.591,0.025,-0.171,-0.981
2017:05:30:15:56:47.642,0.207,-0.162,-0.994
2017:05:30:15:56:47.700,0.126,-0.215,-1.045
2017:05:30:15:56:47.759,0.08,-0.15,-1.134
2017:05:30:15:56:47.817,-0.019,-0.174,-0.946
2017:05:30:15:56:47.875,-0.094,-0.174,-0.954
2017:05:30:15:56:47.933,0.077,-0.189,-1
2017:05:30:15:56:47.992,0.085,-0.209,-0.893
2017:05:30:15:56:48.050,0.061,-0.248,-0.926
2017:05:30:15:56:48.109,0.044,-0.148,-0.917
2017:05:30:15:56:48.167,0.137,-0.151,-0.874
2017:05:30:15:56:48.225,0.113,-0.161,-0.982
2017:05:30:15:56:48.284,0.129,-0.175,-0.849
2017:05:30:15:56:48.342,0.112,-0.184,-0.935
2017:05:30:15:56:48.401,0.124,-0.172,-1.104
2017:05:30:15:56:48.460,0.086,-0.134,-0.989
2017:05:30:15:56:48.518,0.081,-0.226,-0.922
2017:05:30:15:56:48.576,0.225,-0.213,-0.986
2017:05:30:15:56:48.635,0.084,-0.207,-0.917
2017:05:30:15:56:48.692,0.062,-0.223,-1.049
2017:05:30:15:56:48.751,0.07,-0.164,-0.91
2017:05:30:15:56:48.809,0.14,-0.267,-0.88
2017:05:30:15:56:48.867,-0.004,-0.133,-1.024
2017:05:30:15:56:48.927,0.063,-0.15,-0.96
2017:05:30:15:56:48.984,-0.052,-0.132,-0.957
2017:05:30:15:56:49.043,0.057,-0.213,-1.036
2017:05:30:15:56:49.101,-0.026,-0.152,-0.844
2017:05:30:15:56:49.162,-0.035,-0.203,-0.885
2017:05:30:15:56:49.217,0.081,-0.164,-1.067
