X-Axis,Y-Axis,Z-Axis
-0.541,-0.006,-0.834
-0.552,-0.003,-0.839
-0.546,-0.005,-0.833
-0.548,-0.005,-0.834
-0.55,-0.004,-0.835
-0.55,-0.002,-0.835
-0.549,-0.004,-0.836
-0.549,-0.003,-0.834
-0.549,-0.004,-0.833
-0.547,-0.006,-0.837
-0.549,-0.006,-0.836
-0.549,-0.004,-0.833
-0.548,-0.004,-0.833
-0.553,0.002,-0.831
-0.552,-0.004,-0.836
-0.544,-0.006,-0.836
-0.553,-0.004,-0.836
-0.541,-0.005,-0.831
-0.551,-0.003,-0.836
-0.549,-0.003,-0.835
-0.551,-0.003,-0.835
-0.548,-0.005,-0.831
-0.549,-0.006,-0.834
-0.548,-0.003,-0.834
-0.549,-0.003,-0.836
-0.549,-0.004,-0.835
-0.547,-0.006,-0.834
-0.551,-0.003,-0.836
-0.55,-0.004,-0.833
-0.55,-0.006,-0.832
-0.548,-0.004,-0.835
-0.549,-0.003,-0.835
-0.549,-0.003,-0.835
-0.548,-0.005,-0.836
-0.547,-0.005,-0.834
-0.549,-0.004,-0.833
-0.549,-0.004,-0.834
-0.55,-0.004,-0.835
-0.55,-0.006,-0.834
-0.552,-0.004,-0.835
-0.55,-0.005,-0.833
-0.548,-0.005,-0.834
-0.549,-0.004,-0.837
-0.548,-0.003,-0.836
-0.549,-0.003,-0.835
-0.55,-0.003,-0.835
-0.55,-0.004,-0.834
-0.549,-0.004,-0.834
-0.549,-0.005,-0.834
-0.55,-0.006,-0.836
-0.551,-0.005,-0.834
-0.55,-0.005,-0.835
-0.549,-0.004,-0.834
-0.551,-0.005,-0.833
-0.547,-0.005,-0.835
-0.549,-0.005,-0.835
-0.549,-0.004,-0.835
-0.55,-0.003,-0.836
-0.55,-0.005,-0.834
-0.55,-0.006,-0.834
-0.55,-0.005,-0.834
-0.548,-0.004,-0.834
-0.548,-0.006,-0.834
-0.549,-0.005,-0.836
-0.548,-0.006,-0.835
-0.55,-0.003,-0.835
-0.548,-0.004,-0.832
-0.548,-0.004,-0.832
-0.549,-0.003,-0.833
-0.55,-0.004,-0.835
-0.548,-0.005,-0.833
-0.55,-0.007,-0.836
-0.551,-0.004,-0.836
-0.55,-0.004,-0.835
-0.548,-0.003,-0.834
-0.549,-0.005,-0.834
-0.55,-0.004,-0.834
-0.548,-0.005,-0.834
-0.548,-0.005,-0.834
-0.551,-0.004,-0.834
-0.55,-0.006,-0.833
-0.548,-0.003,-0.835
-0.549,-0.005,-0.834
-0.549,-0.003,-0.835
-0.549,-0.004,-0.835
-0.55,-0.005,-0.835
-0.548,-0.002,-0.835
-0.548,-0.005,-0.835
-0.55,-0.006,-0.834
-0.55,-0.003,-0.836
-0.549,-0.004,-0.835
-0.551,-0.006,-0.836
-0.546,-0.006,-0.835
-0.549,-0.006,-0.836
-0.549,-0.006,-0.835
-0.547,-0.003,-0.834
-0.55,-0.004,-0.832
-0.551,-0.004,-0.834
-0.548,-0.004,-0.835
-0.55,-0.005,-0.834
-0.549,-0.005,-0.836
-0.55,-0.004,-0.836
-0.549,-0.005,-0.836
-0.549,-0.006,-0.835
-0.549,-0.005,-0.835
-0.549,-0.004,-0.836
-0.548,-0.006,-0.836
-0.548,-0.005,-0.835
-0.548,-0.006,-0.837
-0.549,-0.004,-0.835
-0.549,-0.005,-0.834
-0.55,-0.004,-0.835
-0.55,-0.005,-0.835
-0.551,-0.007,-0.838
-0.545,-0.005,-0.833
-0.583,-0.009,-0.861
-0.526,-0.006,-0.819
-0.557,-0.002,-0.837
-0.54,-0.003,-0.824
-0.56,-0.003,-0.842
-0.554,-0.004,-0.839
-0.549,-0.003,-0.842
-0.554,-0.003,-0.824
-0.576,-0.008,-0.888
-0.524,0.009,-0.804
-0.638,-0.029,-1.005
-0.531,-0.001,-0.725
-0.689,-0.033,-0.954
-0.528,-0.019,-0.861
-0.508,0.016,-0.883
-0.515,0.019,-0.798
-0.554,0.048,-0.806
-0.567,-0.046,-0.872
-0.542,0.007,-0.82
-0.543,-0.003,-0.789
-0.55,-0.028,-0.867
-0.53,-0.006,-0.859
-0.554,0.012,-0.853
-0.541,0.006,-0.838
-0.531,-0.006,-0.829
-0.544,-0.008,-0.825
-0.55,-0.002,-0.809
-0.577,-0.01,-0.849
-0.498,0.001,-0.802
-0.581,-0.014,-0.871
-0.624,0.005,-0.854
-0.412,-0.009,-0.781
-0.699,0.002,-0.904
-0.428,-0.004,-0.779
-0.655,-0.005,-0.882
-0.468,-0.014,-0.803
-0.612,0.003,-0.863
-0.532,-0.008,-0.837
-0.552,-0.012,-0.832
-0.573,0.001,-0.846
-0.528,-0.017,-0.836
-0.574,-0.002,-0.841
-0.532,-0.005,-0.841
-0.56,-0.001,-0.819
-0.546,-0.011,-0.845
-0.532,0.005,-0.814
-0.595,-0.01,-0.862
-0.49,-0.004,-0.817
-0.639,-0.004,-0.876
-0.466,-0.01,-0.811
-0.582,-0.002,-0.833
-0.515,-0.006,-0.833
-0.566,0.003,-0.821
-0.563,-0.008,-0.851
-0.51,0.003,-0.798
-0.613,-0.004,-0.866
-0.449,0.001,-0.785
-0.638,-0.004,-0.874
-0.463,-0.003,-0.801
-0.651,-0.004,-0.873
-0.453,-0.011,-0.8
-0.616,-0.002,-0.854
-0.5,-0.004,-0.831
-0.592,-0.002,-0.837
-0.529,-0.008,-0.838
-0.531,0.002,-0.809
-0.591,-0.006,-0.863
-0.501,-0.002,-0.814
-0.621,-0.005,-0.859
-0.458,-0.01,-0.793
-0.633,-0.005,-0.863
-0.471,-0.005,-0.822
-0.635,-0.003,-0.854
-0.469,-0.012,-0.82
-0.605,0.004,-0.842
-0.527,-0.004,-0.839
-0.56,-0.002,-0.82
-0.574,-0.011,-0.862
